"LOB","R4_ReserveRBC","R4_DevRatio","R4_InvAdj","R5_LLAERBC","R5_LLAERatio","R5_InvAdj"
"Special Liability","0.401","0.995","0.884","0.894","0.565","0.924"
"Special Property","0.272","0.985","0.954","0.795","0.552","0.957"
"Fidelity and Surety","0.586","0.875","0.908","0.657","0.374","0.922"
"Homeowners and Farmowners","0.226","0.997","0.951","0.930","0.700","0.966"
"Other Liability Occurrence","0.496","0.995","0.864","0.993","0.664","0.837"
"Other Liability Claims Made","0.496","0.995","0.864","0.993","0.664","0.837"
"Commercial Multi Peril","0.475","1.018","0.898","0.873","0.683","0.921"
"Commercial Auto Liability","0.360","1.110","0.926","1.014","0.792","0.903"
"Product Liability Occurrence","1.226","0.911","0.844","1.194","0.609","0.801"
"Workers Compensation","0.382","0.912","0.783","1.037","0.649","0.833"
"Private Passenger Auto","0.205","1.072","0.937","0.970","0.807","0.937"
"Reins Nonprop Property","0.319","0.925","0.913","0.973","0.597","0.919"
"Reins Nonprop Liability","0.596","1.090","0.793","1.183","0.788","0.811"
"International","0.669","1.927","0.881","1.476","1.184","0.925"
"Medical Prof Liability CM","0.172","1.024","0.896","1.146","0.840","0.863"
"Medical Prof Liability Occ","0.271","0.914","0.861","1.394","0.763","0.795"
