STF_HEADER,Staffing Expense,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BASIS,Quarterly Employee Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_HC,Headcount by Department,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
STF_HC_UW,Underwriting,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5
STF_HC_CLAIMS,Claims,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
STF_HC_ACTUARY,Actuarial,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15
STF_HC_RI,Reinsurance,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12
STF_HC_FINANCE,Finance,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12
STF_HC_TECH,Technology,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
STF_HC_SALES,Sales & Marketing,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7
STF_HC_EXEC,Executive,0,0,6,6,6,7,9,9,11,11,15,15,15,15,15,18,18,18,18,18,20,20,20,20,20,70
STF_HC_OTHER,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STF_HC_TOTAL,Total Headcount,0,0,12,13,13,14,17,19,21,21,28,28,28,28,28,33,33,33,33,33,35,35,35,35,35,35
STF_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_SAL,Salary per Person (Annual),,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SAL_UW,Underwriting,150000,150000,150000,150000,150000,165000,165000,165000,165000,165000,250000,250000,250000,250000,250000,275000,275000,275000,275000,275000,302500,302500,302500,302500,302500,1142500
STF_SAL_CLAIMS,Claims,150000,150000,150000,150000,150000,165000,165000,165000,165000,165000,181500,181500,181500,181500,181500,199650,199650,199650,199650,199650,219615,219615,219615,219615,219615,915765
STF_SAL_ACTUARY,Actuarial,150000,150000,150000,150000,150000,165000,165000,165000,165000,165000,181500,181500,181500,181500,181500,199650,199650,199650,199650,199650,219615,219615,219615,219615,219615,915765
STF_SAL_RI,Reinsurance,100000,100000,100000,100000,100000,110000,110000,110000,110000,110000,200000,200000,200000,200000,200000,250000,250000,250000,250000,250000,300000,300000,300000,300000,300000,960000
STF_SAL_FINANCE,Finance,250000,250000,250000,250000,250000,187000,187000,187000,187000,187000,150000,150000,150000,150000,150000,165000,165000,165000,165000,165000,181500,181500,181500,181500,181500,933500
STF_SAL_TECH,Technology,150000,150000,150000,150000,150000,165000,165000,165000,165000,165000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,765000
STF_SAL_SALES,Sales & Marketing,100000,100000,100000,100000,100000,110000,110000,110000,110000,110000,120000,120000,120000,120000,120000,130000,130000,130000,130000,130000,140000,140000,140000,140000,140000,600000
STF_SAL_EXEC,Executive,100000,100000,100000,100000,100000,110000,110000,110000,110000,110000,200000,200000,200000,200000,200000,250000,250000,250000,250000,250000,300000,300000,300000,300000,300000,960000
STF_SAL_OTHER,Other,150000,150000,200000,200000,200000,200000,200000,200000,200000,200000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,910000
STF_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_FACTOR,Benefits & Healthcare Loading,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BENEFITS,Benefits Factor (% of Salary),0.3,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_BONUS,Bonus & Incentive (% of Salary),,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_UW,Underwriting,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_CLAIMS,Claims,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_ACTUARY,Actuarial,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_RI,Reinsurance,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_FINANCE,Finance,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_TECH,Technology,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_SALES,Sales & Marketing,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_EXEC,Executive,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
STF_BONUS_OTHER,Other,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SPACER5,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_EQUITY,Equity Compensation (Annual $ per Person),,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_UW,Underwriting,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_CLAIMS,Claims,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_ACTUARY,Actuarial,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_RI,Reinsurance,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_FINANCE,Finance,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_TECH,Technology,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_SALES,Sales & Marketing,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_EXEC,Executive,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_OTHER,Other,50000,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SPACER6,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_TOTAL,Quarterly Total Expense,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EXP_UW,Underwriting,0,0,0,0,0,0,0,0,0,0,103125,103125,103125,103125,412500,224375,224375,224375,224375,897500,244312.5,244312.5,244312.5,244312.5,977250,2287250
STF_EXP_CLAIMS,Claims,0,0,0,0,0,0,0,72312.5,72312.5,144625,78293.75,78293.75,78293.75,78293.75,313175,84873.125,84873.125,84873.125,84873.125,339492.5,92110.4375,92110.4375,92110.4375,92110.4375,368441.75,1165734.25
STF_EXP_ACTUARY,Actuarial,0,0,200625,200625,401250,216937.5,216937.5,216937.5,216937.5,867750,234881.25,234881.25,234881.25,234881.25,939525,254619.375,254619.375,254619.375,254619.375,1018477.5,276331.3125,276331.3125,276331.3125,276331.3125,1105325.25,4332327.75
STF_EXP_RI,Reinsurance,0,0,48750,48750,97500,52375,104750,104750,104750,366625,255000,255000,255000,255000,1020000,309375,309375,309375,309375,1237500,363750,363750,363750,363750,1455000,4176625
STF_EXP_FINANCE,Finance,0,0,103125,103125,206250,80287.5,80287.5,160575,160575,481725,200625,200625,200625,200625,802500,216937.5,216937.5,216937.5,216937.5,867750,234881.25,234881.25,234881.25,234881.25,939525,3297750
STF_EXP_TECH,Technology,0,0,0,66875,66875,72312.5,72312.5,72312.5,72312.5,289250,66875,66875,66875,66875,267500,66875,66875,66875,66875,267500,66875,66875,66875,66875,267500,1158625
STF_EXP_SALES,Sales & Marketing,0,0,48750,48750,97500,52375,52375,52375,52375,209500,56000,56000,56000,56000,224000,119250,119250,119250,119250,477000,126500,126500,126500,126500,506000,1514000
STF_EXP_EXEC,Executive,0,0,315000,315000,630000,395500,508500,508500,621500,2034000,1387500,1387500,1387500,1387500,5550000,2025000,2025000,2025000,2025000,8100000,2650000,2650000,2650000,2650000,10600000,26914000
STF_EXP_OTHER,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STF_Q_TOTAL,Total Staffing Expense,0,0,716250,783125,1499375,869787.5,1035162.5,1187762.5,1300762.5,4393475,2382300,2382300,2382300,2382300,9529200,3301305,3301305,3301305,3301305,13205220,4054760.5,4054760.5,4054760.5,4054760.5,16219042,44846312
STF_SPACER7,,,,,,,,,,,,,,,,,,,,,,,,,,,
STF_SEC_EQMEMO,Equity Compensation Subtotal (Non-Cash),,,,,,,,,,,,,,,,,,,,,,,,,,
STF_EQ_TOTAL,Total Equity Compensation,0,0,150000,162500,312500,175000,212500,237500,262500,887500,350000,350000,350000,350000,1400000,412500,412500,412500,412500,1650000,437500,437500,437500,437500,1750000,6000000
